"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.865544540E-1;-4.213162422E0;8.788837433E0;1.257428288E0;9.827284819E0
2.887222700E-1;-4.217947960E0;8.745766640E0;1.281954765E0;9.794025073E0
2.908899340E-1;-4.227519512E0;8.707481384E0;1.334596872E0;9.771044064E0
2.930613620E-1;-4.208376884E0;8.702695847E0;1.315454245E0;9.755909536E0
2.952329210E-1;-4.184448719E0;8.707481384E0;1.291526079E0;9.746685732E0
2.973947560E-1;-4.150949001E0;8.731410027E0;1.258026481E0;9.749386098E0
2.995605990E-1;-4.141377926E0;8.717052460E0;1.272383451E0;9.734319409E0
3.017403270E-1;-4.112663746E0;8.717052460E0;1.305882931E0;9.726578890E0
3.039010120E-1;-4.131806374E0;8.750552177E0;1.310668588E0;9.765338676E0
3.060911970E-1;-4.141377926E0;8.745766640E0;1.296311617E0;9.763189492E0
3.082579560E-1;-4.150949001E0;8.755337715E0;1.301097274E0;9.776460005E0
3.104333310E-1;-4.136591911E0;8.750552177E0;1.296311617E0;9.765448267E0
3.125977080E-1;-4.131806374E0;8.755337715E0;1.310668588E0;9.769627145E0
3.147558900E-1;-4.107878208E0;8.769695282E0;1.329811215E0;9.774999569E0
3.169285490E-1;-4.103092670E0;8.769695282E0;1.320239902E0;9.771691675E0
3.191110850E-1;-4.098307133E0;8.755337715E0;1.310668588E0;9.755506753E0
3.212924820E-1;-4.103092670E0;8.784051895E0;1.296311617E0;9.781378275E0
3.234585690E-1;-4.088735580E0;8.812766075E0;1.286142230E0;9.799835018E0
3.256273610E-1;-4.103092670E0;8.812766075E0;1.305284739E0;9.808362942E0
3.277975280E-1;-4.112663746E0;8.807980537E0;1.300499082E0;9.807437081E0
3.299693110E-1;-4.112663746E0;8.831908226E0;1.290927768E0;9.827670146E0
3.321369650E-1;-4.094119549E0;8.851051331E0;1.281356573E0;9.835893412E0
3.343013320E-1;-4.070191383E0;8.851051331E0;1.271785259E0;9.824714006E0
3.364990140E-1;-4.055834293E0;8.865407944E0;1.262213945E0;9.830484925E0
3.386533320E-1;-4.046263218E0;8.846264839E0;1.266999602E0;9.809889685E0
3.408263160E-1;-4.046263218E0;8.822337151E0;1.276570916E0;9.789561386E0
3.429895650E-1;-4.055834293E0;8.831908226E0;1.300499082E0;9.805289011E0
3.451622840E-1;-4.051048756E0;8.860622406E0;1.333998680E0;9.833675708E0
3.473306700E-1;-4.036691666E0;8.870193481E0;1.343569875E0;9.837702578E0
3.494960150E-1;-4.017549038E0;8.860622406E0;1.348355532E0;9.821883339E0
3.516774320E-1;-4.017549038E0;8.855836868E0;1.367498159E0;9.820213752E0
3.538483200E-1;-3.993621111E0;8.827122688E0;1.420140266E0;9.792032624E0
3.560259930E-1;-4.007977962E0;8.865407944E0;1.439282775E0;9.835185828E0
3.581990170E-1;-4.007977962E0;8.841479301E0;1.453639746E0;9.815737980E0
3.603503030E-1;-3.864408493E0;8.774480820E0;1.515853167E0;9.706852089E0
3.625345380E-1;-3.998406649E0;8.898907661E0;1.467398524E0;9.865651105E0
3.647028220E-1;-4.051048756E0;8.908478737E0;1.457827210E0;9.894303897E0
3.668794380E-1;-4.046263218E0;8.874979019E0;1.472184181E0;9.864320802E0
