"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.196059530E-1;-5.234299302E-1;4.675575256E0;8.170890808E0;9.428596898E0
3.217709620E-1;-5.090730190E-1;4.680361271E0;8.170890808E0;9.430185235E0
3.239433260E-1;-5.234299302E-1;4.704289436E0;8.190033913E0;9.459438328E0
3.261140820E-1;-5.808576941E-1;4.761118889E0;8.251648903E0;9.544388841E0
3.282848690E-1;-5.282155871E-1;4.674977303E0;8.257032394E0;9.503315656E0
3.304548100E-1;-4.803591371E-1;4.613361835E0;8.181060791E0;9.404446182E0
3.326325960E-1;-4.037888348E-1;4.546362877E0;8.157132149E0;9.347259798E0
3.348257220E-1;-3.463610709E-1;4.513461590E0;8.191229820E0;9.358821907E0
3.369687580E-1;-3.320041299E-1;4.518247128E0;8.210372925E0;9.377366763E0
3.391386190E-1;-3.224328458E-1;4.532006264E0;8.281558990E0;9.446018369E0
3.413032500E-1;-3.320041299E-1;4.570291042E0;8.362915039E0;9.536043986E0
3.434773430E-1;-3.272185028E-1;4.584648132E0;8.401200294E0;9.576337339E0
3.456371430E-1;-3.224328458E-1;4.599005222E0;8.434102058E0;9.611913936E0
3.478085510E-1;-3.080759048E-1;4.603790760E0;8.472386360E0;9.647338014E0
3.499911980E-1;-2.889333367E-1;4.579862595E0;8.468199730E0;9.631668107E0
3.521647110E-1;-2.697907388E-1;4.555934429E0;8.463413239E0;9.615544145E0
3.543368410E-1;-2.602194548E-1;4.579862595E0;8.496912956E0;9.656106117E0
3.565030200E-1;-2.602194548E-1;4.575077057E0;8.520841599E0;9.674904950E0
3.586725350E-1;-2.554338276E-1;4.613361835E0;8.539385796E0;9.709246296E0
3.608494350E-1;-2.697907388E-1;4.613361835E0;8.572885513E0;9.739109841E0
3.630200380E-1;-2.745763958E-1;4.636692047E0;8.639883995E0;9.809276262E0
3.651904270E-1;-2.554338276E-1;4.655834675E0;8.696713448E0;9.867870477E0
3.673611020E-1;-2.362912297E-1;4.665405750E0;8.696713448E0;9.871913145E0
